,Name,Email,Country,Product,Price,Quantity,Date,Total Price
0,Eric Daniel,EricDaniel@example.org,Uk,Phone,20.0,3.0,1971-06-03,60.0
1,Hannah Nguyen,HannahNguyen@example.net,Usa,Laptop,100.0,2.0,1973-05-09,200.0
2,Angel Smith,AngelSmith@example.com,Usa,Headphones,21.0,3.0,2000-10-09,63.0
3,Anthony Singh,AnthonySingh@example.net,Uk,Keyboard,10.0,2.0,1982-09-12,20.0
4,Dawn Jones,DawnJones@example.org,Uk,Phone,40.0,1.0,1983-12-12,40.0
5,Danny Torres,DannyTorres@example.org,Uk,Keyboard,20.0,2.0,2004-06-05,40.0
6,Richard Knapp,RichardKnapp@example.org,Usa,Tablet,75.0,3.0,2014-01-24,225.0
7,Mark Martinez,MarkMartinez@example.com,India,Laptop,100.0,2.0,1970-11-08,200.0
8,Maria Burton,MariaBurton@example.org,Canada,Laptop,300.0,3.0,1998-03-12,900.0
9,Rebecca Hines,RebeccaHines@example.com,India,Monitor,50.0,2.0,2010-11-05,100.0
10,Brian Smith,BrianSmith@example.net,Usa,Tablet,75.0,3.0,2017-11-08,225.0
11,Carla Morris,CarlaMorris@example.net,Usa,Headphones,28.0,3.0,2006-01-01,84.0
12,Carmen Jones,CarmenJones@example.com,Canada,Laptop,100.0,4.0,1980-09-22,400.0
13,Patricia Wilson,PatriciaWilson@example.com,Germany,Phone,80.0,3.0,2001-06-18,240.0
14,Gary English,GaryEnglish@example.net,Uk,Laptop,200.0,1.0,1989-10-15,200.0
15,Lori Atkins,LoriAtkins@example.org,Germany,Monitor,20.0,4.0,1983-10-13,80.0
16,Eric Carr,EricCarr@example.net,Canada,Headphones,28.0,4.0,2001-12-18,112.0
17,Laura Ramos,LauraRamos@example.com,Usa,Keyboard,20.0,2.0,2001-08-12,40.0
18,Sheila Martinez,SheilaMartinez@example.com,Canada,Monitor,30.0,3.0,1999-11-24,90.0
19,David Martinez,DavidMartinez@example.com,Usa,Tablet,45.0,2.0,2000-12-19,90.0
20,Steven Allison,StevenAllison@example.com,Canada,Laptop,300.0,3.0,1991-02-02,900.0
21,Michele Brennan,MicheleBrennan@example.com,Usa,Keyboard,25.0,4.0,2012-11-15,100.0
22,Gregory Oneal,GregoryOneal@example.net,Uk,Laptop,500.0,1.0,2011-01-27,500.0
23,William Oliver,WilliamOliver@example.net,Usa,Laptop,300.0,3.0,1994-11-27,900.0
24,Daniel Logan,DanielLogan@example.org,Uk,Tablet,75.0,2.0,2014-01-07,150.0
25,Rachel Cameron,RachelCameron@example.org,Uk,Monitor,20.0,2.0,1984-07-06,40.0
26,Crystal Johnson,CrystalJohnson@example.org,Germany,Keyboard,20.0,3.0,2005-07-18,60.0
27,Randy Rivera,RandyRivera@example.org,Usa,Laptop,500.0,2.0,2011-12-03,1000.0
28,Amy Hunt,AmyHunt@example.com,Germany,Keyboard,10.0,3.0,1981-12-05,30.0
29,Sarah Johnson,SarahJohnson@example.net,Uk,Phone,80.0,3.0,2003-08-03,240.0
30,Dawn Jones,DawnJones@example.net,Canada,Headphones,28.0,3.0,2001-09-08,84.0
31,Michael Flores,MichaelFlores@example.com,Bangladesh,Headphones,28.0,4.0,2008-08-13,112.0
32,Jordan Horton,JordanHorton@example.com,Germany,Laptop,400.0,4.0,2001-06-08,1600.0
33,Jonathan Francis,JonathanFrancis@example.net,India,Laptop,400.0,2.0,2002-12-12,800.0
34,Jacob Fisher,JacobFisher@example.org,Bangladesh,Keyboard,30.0,1.0,2020-03-10,30.0
35,George Tran,GeorgeTran@example.com,Uk,Tablet,75.0,3.0,2010-04-25,225.0
36,Jessica Mcguire,JessicaMcguire@example.com,Uk,Phone,80.0,4.0,2005-12-04,320.0
37,Rachel Holmes,RachelHolmes@example.com,Usa,Laptop,100.0,1.0,1975-07-28,100.0
38,Jason Murillo,JasonMurillo@example.org,Usa,Laptop,100.0,4.0,1975-10-31,400.0
39,Caleb Jacobson,CalebJacobson@example.com,Canada,Phone,20.0,1.0,1971-01-06,20.0
